id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,fiscal_year,sort_order,is_ttm,equity,debt_to_equity,equity_ratio
800,IOC,Mar 2018,9479.0,104395,65650,116336,295860,124053,19130,44806,107871,295860,2018,201804,False,113874.0,0.5765143931011468,0.3848915027377814
801,IOC,Mar 2019,9181.0,103288,96765,126128,335363,132494,28281,44112,130476,335363,2019,201904,False,112469.0,0.8603704131805209,0.3353649627418648
802,IOC,Mar 2020,9181.0,86217,129790,104773,329962,147022,32845,35571,114524,329962,2020,202004,False,95398.0,1.3605107025304515,0.28911814087682824
803,IOC,Mar 2021,9181.0,102657,116649,126658,355145,157085,36291,44717,117053,355145,2021,202104,False,111838.0,1.043017578998194,0.31490799532585284
804,IOC,Mar 2022,9181.0,124354,132020,145327,410882,160514,47469,52352,150546,410882,2022,202204,False,133535.0,0.9886546598270116,0.32499598424851905
805,IOC,Mar 2023,13772.0,125949,148977,153298,441995,180048,51133,52190,158624,441995,2023,202304,False,139721.0,1.0662463051366653,0.3161144356836616
806,IOC,Mar 2024,13772.0,169645,132628,166639,482683,195998,61032,65542,160111,482683,2024,202404,False,183417.0,0.7230954600718581,0.37999473774713427
807,IOC,Sep 2024,13772.0,167594,163401,165544,510310,202737,66316,70178,171079,510310,2024,202410,False,181366.0,0.9009461530827167,0.3554035782171621
808,IRCTC,Mar 2015,20.0,424,0,718,1162,155,16,0,990,1162,2015,201504,False,444.0,0.0,0.38209982788296043
809,IRCTC,Mar 2016,20.0,522,0,895,1437,159,14,0,1264,1437,2016,201604,False,542.0,0.0,0.3771746694502436
810,IRCTC,Mar 2017,40.0,747,0,1040,1826,170,17,0,1639,1826,2017,201704,False,787.0,0.0,0.43099671412924423
811,IRCTC,Mar 2018,40.0,915,0,1365,2319,190,8,0,2122,2319,2018,201804,False,955.0,0.0,0.4118154376886589
812,IRCTC,Mar 2019,160.0,911,0,1523,2594,182,40,0,2372,2594,2019,201904,False,1071.0,0.0,0.412875867386276
813,IRCTC,Mar 2020,160.0,1154,0,1928,3241,285,16,0,2941,3241,2020,202004,False,1314.0,0.0,0.4054304227090404
814,IRCTC,Mar 2021,160.0,1296,79,1618,3153,311,24,0,2818,3153,2021,202104,False,1456.0,0.05425824175824176,0.4617824294322867
815,IRCTC,Mar 2022,160.0,1710,105,1909,3884,335,26,0,3522,3884,2022,202204,False,1870.0,0.05614973262032086,0.48146240988671474
816,IRCTC,Mar 2023,160.0,2318,84,2526,5089,351,34,0,4704,5089,2023,202304,False,2478.0,0.03389830508474576,0.48693259972489683
817,IRCTC,Mar 2024,160.0,3070,60,2801,6091,343,443,0,5306,6091,2024,202404,False,3230.0,0.018575851393188854,0.5302905926777213
818,IRCTC,Sep 2024,160.0,3363,42,3234,6800,314,466,15,6005,6800,2024,202410,False,3523.0,0.011921657678115243,0.5180882352941176
819,IRFC,Mar 2013,2352.0,4042,58753,5608,70755,13,0,13,70729,70755,2013,201304,False,6394.0,9.188770722552393,0.09036817186064589
820,IRFC,Mar 2014,3352.0,4210,69917,6451,83930,13,0,11,83906,83930,2014,201404,False,7562.0,9.245834435334567,0.09009889193375432
821,IRFC,Mar 2015,3584.0,5098,71270,7696,87647,12,0,9,87626,87647,2015,201504,False,8682.0,8.208938032711357,0.09905644231975995
822,IRFC,Mar 2016,4526.0,6999,87503,9372,108400,12,0,8,108381,108400,2016,201604,False,11525.0,7.592451193058569,0.10631918819188192
823,IRFC,Mar 2017,6526.0,5483,106395,11245,129650,12,0,8,129630,129650,2017,201704,False,12009.0,8.85960529602798,0.0926263015811801
824,IRFC,Mar 2018,6526.0,7402,134006,13534,161468,11,0,14,161443,161468,2018,201804,False,13928.0,9.621338311315336,0.08625857755096986
825,IRFC,Mar 2019,9380.0,15648,173933,7642,206604,11,0,13,206579,206604,2019,201904,False,25028.0,6.94953651909861,0.12113995856808193
